"categoryid","name","path","parent_id","created_at","updated_at"
"100017",,"Service Parts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"100018",,"Spare Parts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105262",,"Spare Parts\Compressors",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105264",,"Spare Parts\Petrol Lawn Mowers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105265",,"Spare Parts\Plasterboard Lifter",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105266",,"Spare Parts\Hydraulic Lifts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105267",,"Spare Parts\Welders and Mig Machines",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105268",,"Spare Parts\Power Transmitter Shafts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105269",,"Spare Parts\Car Polishers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105270",,"Spare Parts\Cabin and Siphon Sandblasters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105271",,"Spare Parts\Combustion Sprayers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105272",,"Spare Parts\Hydraulic Pullers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105273",,"Spare Parts\Electric Winches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105274",,"Spare Parts\Combustion Engines",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105275",,"Spare Parts\Hydraulic Presses",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105276",,"Spare Parts\Other",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105277",,"Power Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105281",,"Tools for Plumbers\Pipe and Plastic Welders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105284",,"Power Tools\Bench Drills",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105285",,"Power Tools\Screwdrivers and Impact Wrenches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105288",,"Spare Parts\Reciprocating Saws",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105289",,"Power Tools\Other Power Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105300",,"Tools for Plumbers\The Other",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105315",,"Joining Tools\Mass Squeezers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105325",,"Tools for Plumbers\Hydraulic Pipe Benders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105326",,"Tools for Plumbers\Pipe Threaders and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105327",,"Tools for Plumbers\Pipe Cutters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105328",,"Tools for Plumbers\Pipe Wrenches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105329",,"Tools for Plumbers\Spirals for Unblocking Pipes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105332",,"Joining Tools\Transport Lines",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105337",,"Joining Tools\Carpentry Clamps",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105338",,"Joining Tools\Riveters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105339",,"Joining Tools\Tapes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105340",,"Joining Tools\Staplers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105351",,"Pneumatics\Blowing and Cleaning Guns",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105355",,"Pneumatics\Sandblasting Guns",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105357",,"Pneumatics\Paint Guns and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105385",,"Cutting Tools\Leather Piercers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105476",,"Tools for Plumbers\Circulation Pumps for Central Heating and Hot Water",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105484",,"Cutting Tools\Threading Tools\Calibrators and Taps",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105485",,"Cutting Tools\Threading Tools\Extractors for Broken Screws",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105492",,"Cutting Tools\Drilling",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105498",,"Cutting Tools\Drilling\Wood Drills",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105499",,"Cutting Tools\Drilling\Stone Drills",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105502",,"Cutting Tools\Drilling\Drill Bits for Stoneware, Tiles and Glass",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105512",,"Cutting Tools\The Other",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105513",,"Cutting Tools\Drilling\Drill Sets for Metal, Wood and Concrete",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105569",,"Abrasive Materials\Endless Abrasive Belts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105573",,"Abrasive Materials\Velcro Pads",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105574",,"Abrasive Materials\Felt Discs",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105575",,"Abrasive Materials\Flap Discs (Type 29 Conical)",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105581",,"Abrasive Materials\Fiber Discs",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105582",,"Cutting Tools\Reductions for Discs",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105587",,"Abrasive Materials\Sharpening Discs",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105595",,"Joining Tools\Torches and Soldering Irons",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105602",,"Joining Tools\Soldering Irons",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105608",,"Welding Equipment and Accessories\Welding Masks and Helmets",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105610",,"Welding Equipment and Accessories\MIG MAG Devices",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105611",,"Welding Equipment and Accessories\MMA Devices",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105612",,"Welding Equipment and Accessories\Electrodes Covered",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105613",,"Welding Equipment and Accessories\Welding Wires",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105614",,"Welding Equipment and Accessories\Accessories for Welding Machines",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105616",,"Welding Equipment and Accessories\Roofing Gas Burners and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105632",,"Health and Safety Articles",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105634",,"Spare Parts\Heaters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105641",,"Spare Parts\Combustion Augers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105642",,"Spare Parts\Angle Grinders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105643",,"Spare Parts\Jigsaws for Wood",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105644",,"Spare Parts\Renovators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105645",,"Spare Parts\Motor Pumps",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105652",,"Spare Parts\Petrol Saws",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105654",,"Spare Parts\Combustion Blowers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105655",,"Spare Parts\Petrol Tillers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105658",,"Spare Parts\Parts for Knives for Cutting Styrofoam",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105659",,"Spare Parts\Parts for Electric Heat Guns",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105661",,"Spare Parts\Bench Drills",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105663",,"Spare Parts\Plaster Grinders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105774",,"Spare Parts\Parts for Power Generators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105841",,"Spare Parts\Cordless Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105842",,"Power Tools\Heat Guns",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105902",,"Spare Parts\Branch Shredders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"105999",,"Health and Safety Articles\Work Shoes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106000",,"Health and Safety Articles\Work Clothes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106001",,"Health and Safety Articles\Hearing Protection",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106002",,"Health and Safety Articles\Eye Protection",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106003",,"Health and Safety Articles\Protective Masks",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106004",,"Health and Safety Articles\Work Gloves",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106005",,"Health and Safety Articles\Knee Protection",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106006",,"Health and Safety Articles\Work Clothes\Polo Shirts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106007",,"Health and Safety Articles\Work Clothes\T-shirts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106018",,"Spare Parts\Electric Impact Wrenches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106039",,"Power Tools\Cordless Power Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106217",,"Power Tools\Bench Grinders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106238",,"Health and Safety Articles\Work Clothes\Sweatshirts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106239",,"Health and Safety Articles\Work Clothes\Work Trousers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106385",,"Welding Equipment and Accessories\Torches and Blowtorches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106397",,"Spare Parts\Electric Lawn Mowers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106411",,"Household Items",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106448",,"Spare Parts\Electric Plane",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106728",,"Spare Parts\4in1 Trimmer",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106916",,"Spare Parts\Compactors",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106928",,"Health and Safety Articles\Reflective Vests",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"106929",,"Health and Safety Articles\Rainwear",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107039",,"Pneumatics\Pneumatic Grinders and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107040",,"Power Tools\Angle Grinders and Metal Processing",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107041",,"Power Tools\Grinders for Plaster and Plaster",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107045",,"Power Tools\Spare Parts for Power Tools\Gears",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107046",,"Power Tools\Spare Parts for Power Tools\Gears",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107047",,"Pneumatics\Tire Inflation Guns",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107048",,"Power Tools\Impact Drills",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107070",,"Tools for The Workshop and Garage",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107326",,"Tools for The Workshop and Garage\Bags, Tool Backpacks",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107551",,"Spare Parts\Parts for Toilet Pump",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107575",,"Spare Parts\Vacuum Cleaner Parts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107613",,"Household Items\Kitchen and Bathroom Scales",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107614",,"Household Items\Fans",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107615",,"Household Items\Safes and Boxes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107704",,"Measuring Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107705",,"Construction and Renovation",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107706",,"Vacuum Cleaners",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107707",,"Heaters and Radiators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107709",,"Tools for Electricians",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107712",,"Garden",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107715",,"Tools for The Workshop and Garage\Car Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107716",,"Tools for The Workshop and Garage\Electric and Manual Winches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107717",,"Tools for The Workshop and Garage\Torque Wrenches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107718",,"Tools for The Workshop and Garage\Socket Wrenches and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107725",,"Tools for The Workshop and Garage\Socket Wrenches and Accessories\Impact Sockets and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107726",,"Tools for The Workshop and Garage\Socket Wrenches and Accessories\Special Sockets",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107727",,"Tools for The Workshop and Garage\Socket Wrenches and Accessories\L-type Socket Wrenches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107728",,"Tools for The Workshop and Garage\Socket Wrenches and Accessories\Ratchets and Knobs",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107729",,"Tools for The Workshop and Garage\Socket Wrenches and Accessories\Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107731",,"Tools for The Workshop and Garage\Tow Ropes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107732",,"Tools for The Workshop and Garage\Load Securing",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107733",,"Tools for The Workshop and Garage\Embossing Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107735",,"Tourist Equipment and Accessories\Car Coolers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107736",,"Tourist Equipment and Accessories\Multi-tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107737",,"Tourist Equipment and Accessories\Portable Gas Stoves",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107738",,"Tourist Equipment and Accessories\The Other",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107740",,"Household Items\Cleaning Devices",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107741",,"Household Items\Animal Clippers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107742",,"Garden\The Other",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107744",,"Garden\Hose Trolleys and Stands",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107745",,"Garden\Soil Drilling Rigs",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107746",,"Garden\Forks and Rakes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107747",,"Garden\Webbing Fire Hoses, Pvc",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107748",,"Garden\Garden Hoses",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107749",,"Garden\Power Take-off Shafts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107750",,"Garden\Submersible Pumps for Clean Water",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107751",,"Garden\Combustion Water Pumps",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107752",,"Garden\Garden Pumps",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107753",,"Garden\Pumps and Hydrophore Sets",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107754",,"Garden\Submersible Pumps",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107755",,"Garden\Dirty Water Pumps",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107757",,"Garden\Mowing",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107758",,"Garden\Electric Motors",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107759",,"Construction and Renovation\Thermal Knives",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107760",,"Construction and Renovation\Chisels, Chisels and Punches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107761",,"Construction and Renovation\Electric Cable Winches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107762",,"Construction and Renovation\Crowbars",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107763",,"Construction and Renovation\Agitators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107764",,"Measuring Tools\Long Rolled Measures",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107765",,"Measuring Tools\Voltage Testers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107766",,"Measuring Tools\Comb Gauges for Threads",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107767",,"Measuring Tools\Feeler Gauges",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107768",,"Laser Tools\Rangefinders",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107769",,"Laser Tools\Cross Line Lasers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107770",,"Laser Tools\Laser Levels",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107771",,"Laser Tools\Profile Detectors",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107772",,"Joining Tools\Foam Guns",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107773",,"Joining Tools\Glue Guns and Cartridges",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107774",,"Welding Equipment and Accessories\Multi-process Devices",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107775",,"Pneumatics\Air Hammers and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107776",,"Pneumatics\Pneumatic Riveters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107777",,"Pneumatics\Oils for Compressors",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107778",,"Pneumatics\Pneumatic Lubricators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107779",,"Pneumatics\Pneumatic Staplers and Nailers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107780",,"Pneumatics\Pneumatic Installation Accessories\Filters, Reducers and Lubricators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107781",,"Pneumatics\Pneumatic Installation Accessories\Rubber Hoses",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107782",,"Pneumatics\Pneumatic Installation Accessories\Spiral Hoses",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107783",,"Pneumatics\Pneumatic Installation Accessories\Reinforced Hoses",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107784",,"Pneumatics\Pneumatic Tool Sets",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107785",,"Tools for The Workshop and Garage\Service Equipment",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107786",,"Tools for The Workshop and Garage\Service Equipment\Starting Devices",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107787",,"Tools for The Workshop and Garage\Service Carts",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107788",,"Tools for The Workshop and Garage\Transport Trolleys",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107789",,"Tools for Electricians\Insulating Materials",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107790",,"Tools for Electricians\Crimping Pliers and Sets",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107791",,"Heaters and Radiators\Electric Heaters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107792",,"Heaters and Radiators\Gas Heaters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107793",,"Heaters and Radiators\Oil Heaters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107794",,"Heaters and Radiators\Gas Radiators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107795",,"Tools for Electricians\Heat Shrink Tubing",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107796",,"Tools for Electricians\Electric Meters",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107797",,"Construction and Renovation\Concrete Vibrators",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107798",,"Construction and Renovation\Rubber Hammers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107799",,"Construction and Renovation\Masonry Hammers",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107800",,"Construction and Renovation\Painting Guns and Units",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107801",,"Construction and Renovation\Clamps, Vices and Squares\Angles",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107802",,"Tools for Plumbers\Pipe Crimpers and Accessories",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107803",,"Tools for Plumbers\Edge Wrenches",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107804",,"Tools for Plumbers\Tools for PEX, PERT Pipes",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107805",,"Cutting Tools\Punching and Sewing Machines",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107806",,"Cutting Tools\Diamond Tools",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107807",,"Cutting Tools\Diamond Tools\Diamond Discs for Cutting Building Materials",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107808",,"Cutting Tools\Diamond Tools\Diamond Core Drills",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107809",,"Cutting Tools\Knives and Blades",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
"107810",,"Cutting Tools\Knives and Blades\Knives With A Retractable Blade",,"2025-06-13 14:44:55.727561+00","2025-06-13 14:44:55.727561+00"
